"State" "County"
"641" "IL" "Mason "
"642" "IL" "Massac "
"643" "IL" "Mc Donough "
"644" "IL" "Mc Henry "
"645" "IL" "Mc Lean "
"646" "IL" "Menard "
"647" "IL" "Mercer "
"648" "IL" "Monroe "
"649" "IL" "Montgomery "
"650" "IL" "Morgan "
"651" "IL" "Moultrie "
"652" "IL" "Ogle "
"653" "IL" "Peoria "
"654" "IL" "Perry "
"655" "IL" "Piatt "
"656" "IL" "Pike "
"657" "IL" "Pope "
"658" "IL" "Pulaski "
"659" "IL" "Putnam "
"660" "IL" "Randolph "
"661" "IL" "Richland "
"662" "IL" "Rock Island "
"663" "IL" "Saline "
"664" "IL" "Sangamon "
"665" "IL" "Schuyler "
"666" "IL" "Scott "
"667" "IL" "Shelby "
"668" "IL" "St Clair "
"669" "IL" "Stark "
"670" "IL" "Stephenson "
"671" "IL" "Tazewell "
"672" "IL" "Union "
"673" "IL" "Vermilion "
"674" "IL" "Wabash "
"675" "IL" "Warren "
"676" "IL" "Washington "
"677" "IL" "Wayne "
"678" "IL" "White "
"679" "IL" "Whiteside "
"680" "IL" "Will "
"681" "IL" "Williamson "
"682" "IL" "Winnebago "
"683" "IL" "Woodford "
"684" "IN" "Adams "
"685" "IN" "Allen "
"686" "IN" "Bartholomew "
"687" "IN" "Benton "
"688" "IN" "Blackford "
"689" "IN" "Boone "
"690" "IN" "Brown "
"691" "IN" "Carroll "
"692" "IN" "Cass "
"693" "IN" "Clark "
"694" "IN" "Clay "
"695" "IN" "Clinton "
"696" "IN" "Crawford "
"697" "IN" "Daviess "
"698" "IN" "De Kalb "
"699" "IN" "Dearborn "
"700" "IN" "Decatur "
"701" "IN" "Delaware "
"702" "IN" "Dubois "
"703" "IN" "Elkhart "
"704" "IN" "Fayette "
"705" "IN" "Floyd "
"706" "IN" "Fountain "
"707" "IN" "Franklin "
"708" "IN" "Fulton "
"709" "IN" "Gibson "
"710" "IN" "Grant "
"711" "IN" "Greene "
"712" "IN" "Hamilton "
"713" "IN" "Hancock "
"714" "IN" "Harrison "
"715" "IN" "Hendricks "
"716" "IN" "Henry "
"717" "IN" "Howard "
"718" "IN" "Huntington "
"719" "IN" "Jackson "
"720" "IN" "Jasper "
"721" "IN" "Jay "
"722" "IN" "Jefferson "
"723" "IN" "Jennings "
"724" "IN" "Johnson "
"725" "IN" "Knox "
"726" "IN" "Kosciusko "
"727" "IN" "La Porte "
"728" "IN" "Lagrange "
"729" "IN" "Lake "
"730" "IN" "Lawrence "
"731" "IN" "Madison "
"732" "IN" "Marion "
"733" "IN" "Marshall "
"734" "IN" "Martin "
"735" "IN" "Miami "
"736" "IN" "Monroe "
"737" "IN" "Montgomery "
"738" "IN" "Morgan "
"739" "IN" "Newton "
"740" "IN" "Noble "
"741" "IN" "Ohio "
"742" "IN" "Orange "
"743" "IN" "Owen "
"744" "IN" "Parke "
"745" "IN" "Perry "
"746" "IN" "Pike "
"747" "IN" "Porter "
"748" "IN" "Posey "
"749" "IN" "Pulaski "
"750" "IN" "Putnam "
"751" "IN" "Randolph "
"752" "IN" "Ripley "
"753" "IN" "Rush "
"754" "IN" "Scott "
"755" "IN" "Shelby "
"756" "IN" "Spencer "
"757" "IN" "St Joseph "
"758" "IN" "Starke "
"759" "IN" "Steuben "
"760" "IN" "Sullivan "
"761" "IN" "Switzerland "
"762" "IN" "Tippecanoe "
"763" "IN" "Tipton "
"764" "IN" "Union "
"765" "IN" "Vanderburgh "
"766" "IN" "Vermillion "
"767" "IN" "Vigo "
"768" "IN" "Wabash "
"769" "IN" "Warren "
"770" "IN" "Warrick "
"771" "IN" "Washington "
"772" "IN" "Wayne "
"773" "IN" "Wells "
"774" "IN" "White "
"775" "IN" "Whitley "
"776" "IA" "Adair "
"777" "IA" "Adams "
"778" "IA" "Allamakee "
"779" "IA" "Appanoose "
"780" "IA" "Audubon "
"781" "IA" "Benton "
"782" "IA" "Black Hawk "
"783" "IA" "Boone "
"784" "IA" "Bremer "
"785" "IA" "Buchanan "
"786" "IA" "Buena Vista "
"787" "IA" "Butler "
"788" "IA" "Calhoun "
"789" "IA" "Carroll "
"790" "IA" "Cass "
"791" "IA" "Cedar "
"792" "IA" "Cerro Gordo "
"793" "IA" "Cherokee "
"794" "IA" "Chickasaw "
"795" "IA" "Clarke "
"796" "IA" "Clay "
"797" "IA" "Clayton "
"798" "IA" "Clinton "
"799" "IA" "Crawford "
"800" "IA" "Dallas "
"801" "IA" "Davis "
"802" "IA" "Decatur "
"803" "IA" "Delaware "
"804" "IA" "Des Moines "
"805" "IA" "Dickinson "
"806" "IA" "Dubuque "
"807" "IA" "Emmet "
"808" "IA" "Fayette "
"809" "IA" "Floyd "
"810" "IA" "Franklin "
"811" "IA" "Fremont "
"812" "IA" "Greene "
"813" "IA" "Grundy "
"814" "IA" "Guthrie "
"815" "IA" "Hamilton "
"816" "IA" "Hancock "
"817" "IA" "Hardin "
"818" "IA" "Harrison "
"819" "IA" "Henry "
"820" "IA" "Howard "
"821" "IA" "Humboldt "
"822" "IA" "Ida "
"823" "IA" "Iowa "
"824" "IA" "Jackson "
"825" "IA" "Jasper "
"826" "IA" "Jefferson "
"827" "IA" "Johnson "
"828" "IA" "Jones "
"829" "IA" "Keokuk "
"830" "IA" "Kossuth "
"831" "IA" "Lee "
"832" "IA" "Linn "
"833" "IA" "Louisa "
"834" "IA" "Lucas "
"835" "IA" "Lyon "
"836" "IA" "Madison "
"837" "IA" "Mahaska "
"838" "IA" "Marion "
"839" "IA" "Marshall "
"840" "IA" "Mills "
"841" "IA" "Mitchell "
"842" "IA" "Monona "
"843" "IA" "Monroe "
"844" "IA" "Montgomery "
"845" "IA" "Muscatine "
"846" "IA" "O Brien "
"847" "IA" "Osceola "
"848" "IA" "Page "
"849" "IA" "Palo Alto "
"850" "IA" "Plymouth "
"851" "IA" "Pocahontas "
"852" "IA" "Polk "
"853" "IA" "Pottawattamie "
"854" "IA" "Poweshiek "
"855" "IA" "Ringgold "
"856" "IA" "Sac "
"857" "IA" "Scott "
"858" "IA" "Shelby "
"859" "IA" "Sioux "
"860" "IA" "Story "
"861" "IA" "Tama "
"862" "IA" "Taylor "
"863" "IA" "Union "
"864" "IA" "Van Buren "
"865" "IA" "Wapello "
"866" "IA" "Warren "
"867" "IA" "Washington "
"868" "IA" "Wayne "
"869" "IA" "Webster "
"870" "IA" "Winnebago "
"871" "IA" "Winneshiek "
"872" "IA" "Woodbury "
"873" "IA" "Worth "
"874" "IA" "Wright "
"875" "KS" "Allen "
"876" "KS" "Anderson "
"877" "KS" "Atchison "
"878" "KS" "Barber "
"879" "KS" "Barton "
"880" "KS" "Bourbon "
"881" "KS" "Brown "
"882" "KS" "Butler "
"883" "KS" "Chase "
"884" "KS" "Chautauqua "
"885" "KS" "Cherokee "
"886" "KS" "Cheyenne "
"887" "KS" "Clark "
"888" "KS" "Clay "
"889" "KS" "Cloud "
"890" "KS" "Coffey "
"891" "KS" "Comanche "
"892" "KS" "Cowley "
"893" "KS" "Crawford "
"894" "KS" "Decatur "
"895" "KS" "Dickinson "
"896" "KS" "Doniphan "
"897" "KS" "Douglas "
"898" "KS" "Edwards "
"899" "KS" "Elk "
"900" "KS" "Ellis "
"901" "KS" "Ellsworth "
"902" "KS" "Finney "
"903" "KS" "Ford "
"904" "KS" "Franklin "
"905" "KS" "Geary "
"906" "KS" "Gove "
"907" "KS" "Graham "
"908" "KS" "Grant "
"909" "KS" "Gray "
"910" "KS" "Greeley "
"911" "KS" "Greenwood "
"912" "KS" "Hamilton "
"913" "KS" "Harper "
"914" "KS" "Harvey "
"915" "KS" "Haskell "
"916" "KS" "Hodgeman "
"917" "KS" "Jackson "
"918" "KS" "Jefferson "
"919" "KS" "Jewell "
"920" "KS" "Johnson "
"921" "KS" "Kearny "
"922" "KS" "Kingman "
"923" "KS" "Kiowa "
"924" "KS" "Labette "
"925" "KS" "Lane "
"926" "KS" "Leavenworth "
"927" "KS" "Lincoln "
"928" "KS" "Linn "
"929" "KS" "Logan "
"930" "KS" "Lyon "
"931" "KS" "Marion "
"932" "KS" "Marshall "
"933" "KS" "Mc Pherson "
"934" "KS" "Meade "
"935" "KS" "Miami "
"936" "KS" "Mitchell "
"937" "KS" "Montgomery "
"938" "KS" "Morris "
"939" "KS" "Morton "
"940" "KS" "Nemaha "
"941" "KS" "Neosho "
"942" "KS" "Ness "
"943" "KS" "Norton "
"944" "KS" "Osage "
"945" "KS" "Osborne "
"946" "KS" "Ottawa "
"947" "KS" "Pawnee "
"948" "KS" "Phillips "
"949" "KS" "Pottawatomie "
"950" "KS" "Pratt "
"951" "KS" "Rawlins "
"952" "KS" "Reno "
"953" "KS" "Republic "
"954" "KS" "Rice "
"955" "KS" "Riley "
"956" "KS" "Rooks "
"957" "KS" "Rush "
"958" "KS" "Russell "
"959" "KS" "Saline "
"960" "KS" "Scott "
"961" "KS" "Sedgwick "
"962" "KS" "Seward "
"963" "KS" "Shawnee "
"964" "KS" "Sheridan "
"965" "KS" "Sherman "
"966" "KS" "Smith "
"967" "KS" "Stafford "
"968" "KS" "Stanton "
"969" "KS" "Stevens "
"970" "KS" "Sumner "
"971" "KS" "Thomas "
"972" "KS" "Trego "
"973" "KS" "Wabaunsee "
"974" "KS" "Wallace "
"975" "KS" "Washington "
"976" "KS" "Wichita "
"977" "KS" "Wilson "
"978" "KS" "Woodson "
"979" "KS" "Wyandotte "
"980" "LA" "Acadia"
"981" "LA" "Allen"
"982" "LA" "Ascension"
"983" "LA" "Assumption"
"984" "LA" "Avoyelles"
"985" "LA" "Beauregard"
"986" "LA" "Bienville"
"987" "LA" "Bossier"
"988" "LA" "Caddo"
"989" "LA" "Calcasieu"
"990" "LA" "Caldwell"
"991" "LA" "Cameron"
